@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 {0,1,2}

@data
156,'2022/11/20 22:45:24:522',2,0.005336,-0.000992,0.008801,0.3934,-1.250045,-2.538743,0,?
157,'2022/11/20 22:45:24:555',2,0.010987,0.004061,0.004647,0.393717,-1.250198,-2.53861,0,?
158,'2022/11/20 22:45:24:588',2,0.005892,0.002277,0.011072,0.394164,-1.249978,-2.538332,0,?
159,'2022/11/20 22:45:24:622',2,0.0104,0.00052,0.010993,0.394542,-1.24958,-2.538713,0,?
160,'2022/11/20 22:45:24:655',2,0.01234,0.00815,0.00182,0.394625,-1.248961,-2.539222,0,?
161,'2022/11/20 22:45:24:688',2,0.013484,0.003123,0.003495,0.394618,-1.249107,-2.538922,0,?
162,'2022/11/20 22:45:24:722',2,0.003389,-0.00115,0.011728,0.394419,-1.249037,-2.538723,0,?
163,'2022/11/20 22:45:24:755',2,0.004433,0.000284,0.0031,0.39422,-1.249229,-2.539146,0,?
164,'2022/11/20 22:45:24:788',2,0.009141,0.001143,-0.004687,0.393928,-1.248735,-2.538921,0,?
165,'2022/11/20 22:45:24:822',2,-0.001869,-0.006072,0.010097,0.394112,-1.250401,-2.537463,0,?
166,'2022/11/20 22:45:24:855',2,0.006475,-0.001509,0.010636,0.39436,-1.251389,-2.537237,0,?
167,'2022/11/20 22:45:24:888',2,0.005536,0.005154,-0.000346,0.393942,-1.250571,-2.537699,0,?
168,'2022/11/20 22:45:24:922',2,0.021046,0.001524,0.00607,0.394009,-1.251997,-2.536763,0,?
169,'2022/11/20 22:45:24:955',2,0.0078,0.000149,0.009991,0.393264,-1.2529,-2.536352,0,?
170,'2022/11/20 22:45:24:988',2,0.008299,0.005056,-0.000065,0.392581,-1.253081,-2.536094,0,?
171,'2022/11/20 22:45:25:022',2,0.011263,0.002002,0.010999,0.392017,-1.25498,-2.53556,0,?
172,'2022/11/20 22:45:25:055',2,0.003368,0.010999,-0.000833,0.390987,-1.254137,-2.536155,0,?
173,'2022/11/20 22:45:25:088',2,0.00533,0.003838,0.001677,0.390486,-1.253432,-2.535733,0,?
174,'2022/11/20 22:45:25:121',2,0.007847,-0.002406,0.012093,0.390533,-1.255134,-2.534568,0,?
175,'2022/11/20 22:45:25:155',2,-0.000083,-0.003118,0.016135,0.390011,-1.25465,-2.53493,0,?
176,'2022/11/20 22:45:25:188',2,0.005851,0.006823,0.002386,0.389771,-1.253815,-2.535819,0,?
177,'2022/11/20 22:45:25:222',2,0.002305,0.003379,0.006231,0.389595,-1.254846,-2.535458,0,?
178,'2022/11/20 22:45:25:257',2,0.001863,0.006155,0.008722,0.389346,-1.255066,-2.535392,0,?
179,'2022/11/20 22:45:25:288',2,0.005046,0.001084,0.008651,0.38939,-1.255366,-2.535464,0,?
