@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute realinputs-1 numeric
@attribute realinputs-2 numeric
@attribute realinputs-3 numeric
@attribute realinputs-4 numeric
@attribute realinputs-5 numeric
@attribute realinputs-6 numeric
@attribute realinputs-7 numeric
@attribute realinputs-8 numeric
@attribute realinputs-9 numeric
@attribute hori_android1 numeric
@attribute verti_android1 numeric
@attribute roll_android1 {0,1,2,3}
@attribute hori_ios1 numeric
@attribute verti_ios1 numeric
@attribute roll_ios1 {0,1,2,3}
@attribute hori_ios2 numeric
@attribute verti_ios2 numeric
@attribute roll_ios2 {0,1,2,3}

@data
65,'2022/11/28 09:44:48:695',7,11.073686,1.690062,-25.543308,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
66,'2022/11/28 09:44:48:715',7,11.073686,1.690062,-25.543308,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
67,'2022/11/28 09:45:23:717',8,351.390442,4.702094,0.034826,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
68,'2022/11/28 09:45:23:735',8,351.390442,4.702094,0.034826,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
69,'2022/11/28 09:45:23:752',8,351.434296,4.723971,-0.051796,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
70,'2022/11/28 09:45:23:767',8,351.467804,4.75047,-0.123865,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
71,'2022/11/28 09:45:23:784',8,351.491608,4.778957,-0.182747,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
72,'2022/11/28 09:45:23:802',8,351.507446,4.8081,-0.229294,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
73,'2022/11/28 09:45:23:818',8,351.520111,4.831415,-0.266532,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
74,'2022/11/28 09:45:23:834',8,351.521942,4.855835,-0.293955,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
75,'2022/11/28 09:45:27:970',9,326.030487,6.349553,-0.212129,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
76,'2022/11/28 09:45:27:987',9,326.033691,6.344152,-0.204575,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
77,'2022/11/28 09:45:28:004',9,326.03772,6.336715,-0.19234,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
78,'2022/11/28 09:45:28:021',9,326.040955,6.330765,-0.182553,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
79,'2022/11/28 09:45:28:036',9,326.051239,6.329156,-0.169528,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
80,'2022/11/28 09:45:28:053',9,326.051239,6.329156,-0.169528,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
81,'2022/11/28 09:45:28:070',9,326.059448,6.327869,-0.159107,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
82,'2022/11/28 09:45:28:088',9,326.067291,6.333815,-0.165945,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
83,'2022/11/28 09:45:28:103',9,326.073547,6.338571,-0.171415,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
84,'2022/11/28 09:46:03:424',10,314.703766,7.18631,-1.14209,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
85,'2022/11/28 09:46:03:441',10,314.709229,7.174165,-1.15878,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
86,'2022/11/28 09:46:03:456',10,314.713593,7.164449,-1.172133,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
87,'2022/11/28 09:46:03:474',10,314.707214,7.122159,-1.180428,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
88,'2022/11/28 09:46:03:492',10,314.707214,7.122159,-1.180428,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
89,'2022/11/28 09:46:03:508',10,314.702087,7.088326,-1.187063,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
90,'2022/11/28 09:46:03:524',10,314.676392,7.043799,-1.190538,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
91,'2022/11/28 09:46:03:540',10,314.643982,7.009892,-1.19087,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
92,'2022/11/28 09:46:03:557',10,314.60614,6.991381,-1.192688,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
93,'2022/11/28 09:46:03:573',10,314.60614,6.991381,-1.192688,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
94,'2022/11/28 09:46:03:590',10,314.560181,6.990583,-1.20188,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
95,'2022/11/28 09:46:07:310',11,299.723877,7.921031,-0.771104,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
96,'2022/11/28 09:46:07:327',11,299.709778,7.905514,-0.769197,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
97,'2022/11/28 09:46:07:346',11,299.703583,7.893157,-0.76544,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
98,'2022/11/28 09:46:07:361',11,299.706207,7.884122,-0.762352,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
99,'2022/11/28 09:46:07:378',11,299.708313,7.876894,-0.759881,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
100,'2022/11/28 09:46:07:396',11,299.711792,7.863815,-0.755086,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
101,'2022/11/28 09:46:07:412',11,299.711792,7.863815,-0.755086,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
102,'2022/11/28 09:46:07:427',11,299.7146,7.853353,-0.75125,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
103,'2022/11/28 09:46:07:444',11,299.706726,7.83286,-0.743114,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
104,'2022/11/28 09:46:07:461',11,299.700439,7.816466,-0.736605,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
105,'2022/11/28 12:13:37:786',13,332.348694,5.413112,-1.790139,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
106,'2022/11/28 12:13:37:803',13,332.350677,5.41203,-1.797873,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
107,'2022/11/28 12:13:37:819',13,332.352966,5.413309,-1.800375,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
108,'2022/11/28 12:13:37:835',13,332.353668,5.413187,-1.799133,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
109,'2022/11/28 12:13:37:852',13,332.353668,5.413187,-1.799133,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
110,'2022/11/28 12:13:37:871',13,332.386322,5.404247,-1.799658,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
111,'2022/11/28 12:13:37:886',13,332.443512,5.387721,-1.80227,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
112,'2022/11/28 12:13:37:903',13,332.378693,5.375055,-1.803882,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
